"pt_id","name_clean","line_id","dist_start","dist_end","dist_closer_endpoint","CountryNum","StateNum","Route","RouteName","Active","Stratum","BCR","RouteTypeID","RouteTypeDetailID","name_clean.pt","rteno","RTENAME","SUM_ARC_LE","MIN_rte_le","MAX_rte_le","MIN_date_a","MAX_date_a","name_clean.line"
5644,"otto",3989,42874.8391973345,6901.94214274084,6901.94214274084,840,"92","003","OTTO",1,86,10,1,1,"otto",92003,"OTTO",42514.4,42514.4,42514.4,1998,1998,"otto"
5659,"ervay",4004,2865.38585164471,46930.7110820149,2865.38585164471,840,"92","018","ERVAY",1,86,10,1,1,"ervay",92018,"ERVAY",39026.6,39026.6,39026.6,1998,1998,"ervay"
5660,"brookhurst",4005,35113.7832147603,3312.86409118294,3312.86409118294,840,"92","019","BROOKHURST",1,39,16,1,1,"brookhurst",92019,"BROOKHURST",44313.6,44313.6,44313.6,1998,1998,"brookhurst"
5663,"cumberland",4008,1844.02323867954,26727.0939239778,1844.02323867954,840,"92","022","CUMBERLAND",1,86,10,1,1,"cumberland",92022,"CUMBERLAND",43507.4,43507.4,43507.4,1998,1998,"cumberland"
5670,"canyon",4015,1197.6753547698,39834.9910177465,1197.6753547698,840,"92","029","CANYON",0,64,10,1,1,"canyon",92029,"CANYON",38258.777,38258.78,38258.78,2001,2001,"canyon"
5678,"meeteetse",4023,35187.2565438076,9196.4399107012,9196.4399107012,840,"92","038","MEETEETSE",1,64,10,1,1,"meeteetse",92038,"MEETEETSE",40282,40282,40282,1998,1998,"meeteetse"
5686,"soda well",4031,3393.9815815713,49133.0812767601,3393.9815815713,840,"92","046","SODA WELL",1,39,17,1,1,"soda well",92046,"SODA WELL",40523.8,40523.8,40523.8,1998,1998,"soda well"
5691,"alpine",4036,43467.0499298284,1778.65027730961,1778.65027730961,840,"92","051","ALPINE",1,64,10,1,1,"alpine",92051,"ALPINE",37962,37962,37962,1998,1998,"alpine"
5702,"mayoworth",4047,44097.9931655056,7869.15905440837,7869.15905440837,840,"92","063","MAYOWORTH",1,39,17,1,1,"mayoworth",92063,"MAYOWORTH",41433.2,41433.2,41433.2,1998,1998,"mayoworth"
5706,"highlight",4051,1550.04186353211,44084.5528640511,1550.04186353211,840,"92","067","HIGHLIGHT",0,39,17,1,1,"highlight",92067,"HIGHLIGHT",38105.8,38105.8,38105.8,1998,1998,"highlight"
5727,"shawnee",4072,2321.77351246189,40159.5683347267,2321.77351246189,840,"92","088","SHAWNEE",1,39,17,1,1,"shawnee",92088,"SHAWNEE",40536,40536,40536,1998,1998,"shawnee"
5739,"rawlins",4083,1114.29848573109,35937.4305165253,1114.29848573109,840,"92","102","RAWLINS",0,86,10,1,1,"rawlins",92102,"RAWLINS",39513.7,39513.7,39513.7,1998,1998,"rawlins"
5780,"hayden val",4109,29036.6243546384,45460.6965883437,29036.6243546384,840,"92","900","HAYDEN VAL",0,64,10,1,2,"hayden val",92900,"HAYDEN VAL",40155.59,40155.59,40155.59,2011,2011,"hayden val"
