"CountryNum","StateNum","Route","RouteName","Active","Latitude","Longitude","Stratum","BCR","RouteTypeID","RouteTypeDetailID","year","aridlands"
840,7,2,"EUDORA",1,33.168504,-91.332694,5,26,1,1,2011,0.000518626412429379
840,7,3,"RAMSEY",0,33.913514,-92.593634,4,25,1,1,2011,0.0626021339998077
840,7,4,"LOCUST BAYOU",0,33.5907857,-92.6974039,4,25,1,1,2011,0.0229623593852561
840,7,5,"STAMPS",1,33.3755757,-93.4706879,4,25,1,1,2011,0.0543021610704913
840,7,6,"HOPE",1,33.6627163,-93.6694105,4,25,1,1,2011,0.0334448523820903
840,7,7,"ASHDOWN",1,33.6969877,-94.1229479,4,25,1,1,2011,0.0252856574384628
840,7,8,"HUGHES",1,34.9269397,-90.5065699,5,26,1,1,2011,0
840,7,9,"WEST TYLER",0,34.7079957,-91.7000729,5,26,1,1,2011,0.000401949972688015
840,7,10,"SOUTH BEND",1,34.0487397,-91.4995419,5,26,1,1,2011,0.00293206172981208
840,7,11,"CROWS",0,34.627904,-92.796273,19,25,1,1,2011,0.0123217764392337
840,7,12,"POYEN",0,34.3401497,-92.6636599,4,25,1,1,2011,0.0267764385214312
840,7,13,"HOLLYWOOD",1,34.035154,-93.256803,4,25,1,1,2011,0.0650048711660564
840,7,14,"BLAKELY",0,34.694284,-93.081193,19,25,1,1,2011,0.0774891266016222
840,7,15,"WALDRON",1,34.969944,-94.043753,19,25,1,1,2011,0.0117054898747513
840,7,16,"HARRISBURG",1,35.4848667,-90.6809479,5,26,1,1,2011,0.000397858385149652
840,7,17,"WHITTON",0,35.5182337,-90.2869869,5,26,1,1,2011,5.08988741169045e-05
840,7,18,"AUGUSTA",0,35.3146747,-91.3577789,5,26,1,1,2011,1.09398418098874e-05
840,7,19,"SAFFELL",1,35.9114603,-91.3426352,19,26,1,1,2011,0.00388181286286512
840,7,20,"RUPERT",1,35.6330837,-92.7182699,19,24,1,1,2011,0.0323111047352101
840,7,21,"STARK",1,35.571494,-92.195523,19,25,1,1,2011,0.0144533384005131
